ZTF20aaffgwg 0.039811 Ia
58903.2016782 2 19.7974 0.138008
58903.1858333 2 19.7655 0.149311
58900.2166319 2 19.6371 0.113212
58898.1520602 2 19.4854 0.112548
58892.2795602 2 19.2776 0.146178
58884.1714931 2 19.0022 0.136866
58882.159294 2 18.9477 0.128743
58878.1848843 2 18.7451 0.110955
58874.2497338 2 18.4955 0.0827915
58873.1943403 2 18.4912 0.0618112
58867.2605556 2 18.8491 0.0976185
58864.2225231 2 19.3744 0.111131
58862.3061227 2 20.157 0.214464
58862.2143287 2 20.1363 0.194902
