ZTF20aayxkqy 0.131000 Ia
58987.3489583 2 19.3056 0.104442
58986.3046759 2 19.3432 0.1013
58985.3898843 2 19.4131 0.141137
58981.2852315 2 19.5295 0.149648
58980.3162269 2 19.6156 0.133966
58979.3287616 2 19.6481 0.160569
58978.3092245 2 19.7444 0.180138
58976.3465394 2 19.9526 0.284662
58974.3238773 2 20.3466 0.260697
58973.3438657 2 20.6353 0.333648
58972.3852894 2 20.728 0.322094
