ZTF18abvgivy 0.064650 II
58441.4337153 2 19.8566 0.139254
58438.513831 2 19.4475 0.0841164
58432.3879977 2 19.3974 0.135279
58426.5490278 2 19.3753 0.127682
58426.4303356 2 19.3411 0.129033
58423.5162616 2 19.2568 0.121316
58388.5197338 2 18.9551 0.109634
58385.5267708 2 18.8431 0.116192
58382.5238773 2 18.9033 0.115314
58378.5097917 2 18.7692 0.0821294
58375.5142824 2 18.704 0.0853301
58372.5151389 2 18.8044 0.097238
