ZTF19abasxkg 0.038000 Ia
58721.4535648 2 19.0187 0.114448
58715.4284954 2 18.9924 0.127774
58709.4085995 2 18.747 0.0851464
58706.4076736 2 18.6114 0.0880272
58703.4301389 2 18.5011 0.0851907
58700.4504861 2 18.3563 0.0646249
58697.4319676 2 18.1599 0.0585433
58694.4103125 2 17.9041 0.0808481
58691.4321181 2 17.7459 0.0471914
58688.4252199 2 17.7244 0.0507015
58681.4472454 2 17.5604 0.0477714
58678.4880093 2 17.3901 0.036425
58672.4685648 2 16.9979 0.036732
58669.4341088 2 16.9649 0.0339792
58666.4248958 2 17.0215 0.0323508
58661.4361806 2 17.3898 0.0389373
58658.4098264 2 17.8911 0.0691219
