ZTF19aavounq 0.076300 Ia
58690.1717477 2 20.0047 0.188992
58684.1868634 2 19.8915 0.157038
58681.2530787 2 19.4409 0.222857
58672.1933912 2 19.2565 0.104569
58669.1847454 2 19.254 0.120764
58666.1719676 2 19.1357 0.0912808
58663.1915509 2 19.0275 0.192796
58660.2105787 2 18.9272 0.0959953
58657.2553472 2 18.7056 0.0892239
58654.1887384 2 18.569 0.0906559
58650.2546065 2 18.4109 0.0786899
58647.2311227 2 18.438 0.0912018
58644.2547917 2 18.4526 0.0783166
58641.2746528 2 18.5616 0.0709708
58635.2916435 2 19.3639 0.0912091
58632.2724653 2 20.4986 0.276275
