ZTF19acdubmt 0.092000 Ia
58804.5459259 2 19.3493 0.209967
58798.5381829 2 19.2252 0.143231
58794.5326505 2 19.045 0.104833
58791.5153935 2 18.9547 0.091056
58788.5306944 2 18.8357 0.0942766
58784.5367708 2 18.7606 0.209397
58776.5175231 2 18.5593 0.0858869
58770.4863657 2 18.8273 0.129235
58764.4879745 2 19.8082 0.168054
