ZTF19aanjjgr 0.095000 Ia
58601.2543403 2 19.4312 0.202962
58598.1421759 2 19.456 0.198853
58598.1412731 2 19.5457 0.214369
58587.2543981 2 18.7916 0.139682
58584.1686111 2 18.9564 0.181541
58584.1677083 2 18.9683 0.134263
58581.2320255 2 18.8587 0.102689
58581.2306597 2 18.9022 0.107005
58573.252338 2 19.2581 0.189378
58573.2322454 2 19.3252 0.176027
58568.2748032 2 19.6405 0.165977
58568.2738889 2 19.6599 0.208385
