ZTF20aagjpmt 0.015000 II
58904.1330903 1 18.3975 0.0628216
58898.1781829 1 18.3879 0.0742855
58890.246956 1 18.4428 0.172857
58886.164537 1 17.9759 0.100223
58880.1272338 1 17.9507 0.0570162
58879.1316782 1 17.9188 0.100564
58877.2066435 1 17.8673 0.0561182
58876.1612384 1 17.9062 0.0686598
58876.1612384 1 17.9036 0.068096
58874.1896296 1 17.804 0.0654593
58871.2050579 1 17.7636 0.0515789
58867.2031481 1 17.8004 0.053078
