ZTF20aaetvkh 0.070000 Ia
58899.1722917 1 20.7453 0.274569
58880.1448495 1 19.0989 0.107864
58876.1458565 1 18.7935 0.0762219
58876.1458565 1 18.7944 0.077518
58874.1891782 1 18.6705 0.0894668
58871.2055093 1 18.4154 0.078657
58867.201794 1 18.2703 0.059837
58867.1994907 1 18.2409 0.0674661
58863.1506019 1 18.2528 0.0634501
58860.1247222 1 18.4933 0.116931
