ZTF19ablfaey 0.074000 Ia
58760.2935764 2 20.2757 0.212972
58749.2850926 2 19.6622 0.125592
58738.3380208 2 19.3057 0.258745
58735.3701736 2 19.0222 0.122503
58726.3757523 2 18.9608 0.084046
58723.3768056 2 18.8784 0.0838182
58720.3900231 2 18.7519 0.0795221
58717.4617014 2 18.4651 0.0849342
58714.3970139 2 18.4183 0.0965816
58710.3557523 2 18.4067 0.166839
58707.5019329 2 18.377 0.0729715
58699.3756944 2 19.1335 0.112035
58696.3759491 2 19.8317 0.134647
