ZTF19aallimd 0.030000 II
58617.2315278 2 17.093 0.0556489
58608.2104398 2 17.1391 0.0414867
58601.2543403 2 17.0817 0.0380052
58598.1412731 2 17.0636 0.046653
58592.2466667 2 17.0618 0.0474088
58587.2543981 2 17.1231 0.0392549
58584.1677083 2 17.0637 0.0430097
58581.2306597 2 17.0557 0.0414111
58573.252338 2 17.0143 0.0399889
58568.2748032 2 16.9438 0.0450626
58543.2663542 2 17.3651 0.0747085
