ZTF19aangier 0.060400 Ia
58612.2651852 1 20.5122 0.17306
58606.4092708 1 19.979 0.160153
58600.2251042 1 19.6304 0.120596
58597.2808796 1 19.2151 0.126868
58594.2199537 1 18.8986 0.119042
58591.2176736 1 18.6328 0.0945456
58587.3232639 1 18.3938 0.0597093
58584.2743981 1 18.1559 0.0631932
58580.2627778 1 17.9004 0.0504874
58575.3066435 1 17.7907 0.0449057
58572.327662 1 17.8298 0.0581128
58567.3056019 1 18.1023 0.0564695
