ZTF19acfvuxk 0.105000 Ia
58792.3514699 1 20.4932 0.329056
58791.2939931 1 20.6995 0.297305
58790.2956713 1 20.6087 0.289636
58790.2864352 1 20.3968 0.27409
58789.3705324 1 20.3887 0.329721
58788.1659606 1 20.4191 0.441956
58787.1650347 1 20.2172 0.325626
58786.1727199 1 20.1466 0.313483
58785.1657407 1 20.2131 0.271415
58782.1644907 1 20.4713 0.389759
58781.1656713 1 20.2302 0.473721
58779.1657176 1 20.1116 0.235127
58778.1659028 1 20.0468 0.237294
58777.1656944 1 20.2572 0.31453
58776.1652546 1 20.0196 0.210265
58775.1660301 1 19.9868 0.175747
