ZTF20aaodkvl 0.029000 Ia
58965.4135185 1 19.8459 0.138922
58962.3644907 1 19.8033 0.172229
58944.4959838 1 19.4837 0.184419
58943.4286806 1 19.2551 0.178508
58936.4767245 1 19.3556 0.122649
58917.3845833 1 17.3012 0.124378
58915.4668403 1 17.069 0.0463583
58914.443125 1 16.9311 0.0416435
58913.5326852 1 16.8773 0.0453522
58912.5359144 1 16.7975 0.0315392
58911.5286111 1 16.6865 0.043296
58908.5376042 1 16.5337 0.0375085
58908.5376042 1 16.5337 0.037508
58906.5285301 1 16.4468 0.03882
58905.5316204 1 16.4166 0.037516
58904.559919 1 16.4402 0.033827
58903.5345023 1 16.4699 0.0346979
58900.5622106 1 16.7176 0.063581
58899.5362269 1 16.8548 0.036103
58898.5509954 1 17.0622 0.0359
58895.5282407 1 17.9286 0.0535451
58894.5500694 1 18.3328 0.066055
58893.4881134 1 18.8169 0.104009
