ZTF19acyqdxa 0.095000 Ia
58882.1475463 2 19.8229 0.216521
58880.1838889 2 19.8981 0.235359
58877.1601505 2 19.8555 0.171688
58867.2314352 2 19.69 0.170167
58862.1959838 2 19.5119 0.128111
58861.1927083 2 19.3499 0.257609
58860.1864815 2 19.3032 0.170706
58859.2700694 2 19.1814 0.137045
58859.203912 2 19.2198 0.18153
58856.1688426 2 19.1704 0.163652
58850.1430324 2 19.058 0.139779
58846.255787 2 18.9255 0.100132
58837.2378009 2 19.3386 0.124095
58833.2650579 2 19.951 0.211124
58833.2403356 2 20.0776 0.269055
