ZTF20aaeszsm 0.067000 Ia
58896.1560185 2 19.6547 0.126451
58893.1401852 2 19.5122 0.116857
58885.1524421 2 19.2815 0.1831
58880.1640278 2 19.259 0.126853
58877.1591667 2 18.9679 0.0918523
58877.1449653 2 19.0462 0.0917012
58874.1301505 2 18.8244 0.105335
58873.1804861 2 18.7879 0.0731784
58867.2369329 2 18.7008 0.0925112
58862.2280324 2 19.013 0.0844731
58861.1496296 2 19.1717 0.113345
58860.1614352 2 19.2552 0.142795
58859.1910764 2 19.3775 0.135889
