ZTF20aayjyhp 0.071000 Ia
58987.3643171 2 18.986 0.0854519
58986.4733449 2 18.9169 0.0978991
58986.4586343 2 18.9778 0.0883066
58985.4849306 2 18.9963 0.0985103
58985.4829977 2 18.9053 0.0991512
58985.4064236 2 18.9221 0.0964018
58985.4026042 2 18.9417 0.107547
58983.3921065 2 18.9206 0.0993438
58983.3679745 2 18.9541 0.107474
58981.414456 2 19.0416 0.119529
58981.4135185 2 19.0783 0.116022
58980.4678819 2 19.0015 0.146142
58980.4645833 2 19.0755 0.102533
58979.3493171 2 19.1561 0.135347
58979.3412269 2 19.1931 0.126896
58977.4649306 2 19.334 0.30042
58977.4569097 2 19.2941 0.214021
58977.4545602 2 19.3974 0.29621
58977.4360185 2 19.5 0.177916
58976.3703356 2 19.6069 0.247601
58976.3418056 2 19.6425 0.291854
58975.4347222 2 19.4159 0.16643
58974.35125 2 19.9767 0.238331
58973.3631597 2 20.1783 0.267016
58973.3487847 2 20.3349 0.289449
58972.4257407 2 20.6736 0.348097
58971.4092593 2 20.589 0.265716
