ZTF19aajxhwa 0.033000 Ia
58585.1380903 2 18.8622 0.177872
58562.1462731 2 18.108 0.134071
58558.1651852 2 18.1531 0.101342
58557.2129051 2 18.1871 0.128605
58547.152419 2 17.6071 0.062278
58547.1287384 2 17.5273 0.0430441
58538.1548843 2 17.36 0.15269
58538.1544329 2 17.3314 0.0981144
58534.1928588 2 17.4954 0.0642283
58526.1754167 2 19.0275 0.112424
58522.190625 2 20.9324 0.354762
