ZTF20aatulug 0.097000 Ia
58986.3906713 1 21.0624 0.254034
58985.3053241 1 20.7779 0.274408
58981.3060301 1 20.6407 0.29614
58980.412338 1 20.2886 0.283614
58979.2581019 1 20.2793 0.237542
58974.4699074 1 19.9976 0.289594
58973.4694097 1 20.0534 0.167514
58971.4262847 1 20.1028 0.141542
58970.3036343 1 19.9548 0.186257
58968.4448611 1 19.7549 0.12895
58966.4066898 1 19.5654 0.126607
58965.4139699 1 19.5638 0.108413
58964.3899306 1 19.3789 0.0914251
58963.4354514 1 19.3797 0.110392
58963.3879167 1 19.2613 0.0878726
58962.3649421 1 19.2148 0.0944169
58956.3844097 1 18.8212 0.086229
58955.4121065 1 18.7138 0.084886
58954.4064352 1 18.6858 0.0814463
58944.4955324 1 18.3341 0.0736161
58943.4282292 1 18.4112 0.0904745
58941.4964236 1 18.5148 0.0792598
58940.4710301 1 18.5079 0.0699124
58939.4471875 1 18.4966 0.15959
58936.4771759 1 19.043 0.0895172
