ZTF19abqqrib 0.112000 Ia
58738.4211458 1 19.4952 0.2311
58735.3986227 1 19.4609 0.156296
58735.3981713 1 19.4691 0.127154
58732.3788773 1 19.2445 0.110672
58732.3779745 1 19.2211 0.0997507
58727.3976273 1 19.0188 0.118293
58727.3971759 1 19.0527 0.0963483
58724.4201389 1 18.8679 0.102686
58724.4192361 1 19.0355 0.099261
58718.4143403 1 18.9631 0.113972
58718.3978935 1 19.1949 0.182396
58715.5035301 1 19.0802 0.193043
58715.5026389 1 19.2326 0.346303
