ZTF19abangub 0.083000 Ia
58694.1807523 2 19.2963 0.103708
58690.1740278 2 19.1447 0.101821
58680.2409838 2 18.6792 0.115888
58677.1944329 2 18.4226 0.0927661
58674.2193287 2 18.3673 0.081231
58671.2030208 2 18.3418 0.0802493
58665.2691551 2 18.6847 0.078991
58661.1966319 2 19.3952 0.118022
58658.1799653 2 20.327 0.189029
