ZTF19abukbit 0.035000 II
58812.2728819 2 19.8171 0.146658
58796.3155208 2 19.6924 0.227648
58793.3563657 2 19.5984 0.17133
58790.3712963 2 19.7938 0.222655
58784.3778472 2 19.3444 0.180558
58778.3792593 2 19.6584 0.309374
58775.3749537 2 19.6683 0.16565
58765.4182176 2 19.406 0.118166
58759.3762731 2 19.6062 0.113729
58751.5033796 2 19.5612 0.118435
58748.4405556 2 19.3772 0.164843
58745.4597338 2 19.201 0.183764
58738.5236458 2 19.2007 0.119358
58735.4857986 2 19.435 0.102476
58732.4813773 2 19.3021 0.0910004
58727.5133565 2 19.3721 0.147144
58724.5008681 2 19.2775 0.106136
