ZTF18acefuhk 0.057000 II
58493.4530671 2 19.2866 0.112351
58486.4709491 2 18.9164 0.120051
58486.4704861 2 18.8151 0.100809
58481.4438889 2 18.7568 0.0899412
58480.4300694 2 18.6341 0.0836605
58480.428669 2 18.5987 0.0897531
58474.3296875 2 18.6012 0.102895
58472.4161806 2 18.5114 0.0671892
58471.5316435 2 18.5776 0.0964525
58471.5302431 2 18.6118 0.121538
58464.529919 2 18.4911 0.0614745
58464.5285185 2 18.5538 0.0768008
58461.5240278 2 18.627 0.0762588
58461.5178356 2 18.5455 0.0989289
58455.4846991 2 18.7145 0.0920984
58455.4823727 2 18.7034 0.0694966
58450.5413542 2 18.8683 0.102911
58450.536713 2 18.8089 0.0724793
58447.5319676 2 18.7911 0.119997
58447.5090278 2 18.9142 0.158992
58447.4435185 2 18.9389 0.102008
58447.4203241 2 18.9095 0.142166
58441.5311921 2 19.2352 0.181186
58438.5128588 2 19.4505 0.156157
58438.5114583 2 19.501 0.124213
58432.519919 2 19.7572 0.173637
58432.519456 2 19.7594 0.171569
58432.3898727 2 19.9084 0.208401
58429.5183102 2 20.2192 0.159776
