ZTF19aavxpbx 0.070000 Ia
58670.1731134 2 19.6142 0.185175
58670.172662 2 19.8199 0.238173
58667.2119097 2 19.6404 0.166167
58667.2114468 2 19.7991 0.189055
58661.1900463 2 19.735 0.205134
58661.1895833 2 19.6856 0.213052
58658.2326273 2 19.6307 0.138805
58653.2290394 2 19.4454 0.222575
58646.2311227 2 19.0721 0.146459
58646.2275463 2 18.8583 0.133106
58643.2519792 2 18.8347 0.147709
58643.2311111 2 18.9814 0.117472
58640.2525347 2 18.861 0.110318
58640.2520718 2 18.9211 0.0971233
58637.2968056 2 18.9858 0.0928332
58637.2947338 2 18.9463 0.101407
58634.290463 2 19.2121 0.113223
58634.286794 2 19.1037 0.10103
