ZTF20aaybvye 0.076000 Ia
58987.4315162 1 18.474 0.0725617
58986.3934838 1 18.4742 0.0569077
58981.3289468 1 18.5508 0.0807658
58980.4170602 1 18.5709 0.101144
58979.2576157 1 18.6917 0.0811492
58978.4326157 1 18.7017 0.132879
58976.4913657 1 19.1163 0.225169
58975.2662269 1 19.2482 0.192371
58973.4517014 1 19.7277 0.161601
58970.4558681 1 21.0678 0.258492
