ZTF20aawqywr 0.049900 Ia
58986.185463 1 18.0102 0.0746093
58986.1727431 1 17.9596 0.0566803
58981.1661458 1 17.8422 0.0633177
58980.1872454 1 17.8425 0.0468979
58978.185544 1 17.8745 0.056014
58977.1546991 1 17.862 0.057484
58975.2315625 1 18.0087 0.0929655
58974.1848611 1 18.1032 0.0728461
58972.2271296 1 18.2372 0.0832333
58971.2470833 1 18.4143 0.0918457
58968.2439236 1 19.131 0.103581
58968.2143287 1 19.0978 0.114533
