ZTF18abaxlpi 0.064600 Ia
58618.2463194 2 19.312 0.166533
58608.4968519 2 19.4364 0.156778
58593.3387153 2 19.3855 0.19301
58580.5188773 2 19.4388 0.212205
58343.3293403 2 20.2787 0.211721
58338.1966319 2 19.9666 0.170562
58326.3194097 2 19.4838 0.188279
58323.2379051 2 19.314 0.123718
58317.4078125 2 19.1239 0.105826
58314.2214583 2 19.0645 0.0826322
58308.3468866 2 18.7469 0.120071
58302.3481366 2 18.4857 0.103485
58299.3892477 2 18.3913 0.124868
58296.290544 2 18.3751 0.0870073
58293.3062153 2 18.5883 0.0810058
58290.3634491 2 18.7752 0.0829824
58287.3244329 2 19.4753 0.0906864
