ZTF19aawqcgy 0.020652 Ic-BL
58679.2387731 2 19.3154 0.158197
58665.3466782 2 18.9002 0.0976237
58663.3410417 2 18.7121 0.096965
58662.2462847 2 18.7834 0.0943704
58661.3262384 2 18.5815 0.0761095
58657.3661574 2 18.3145 0.0679628
58654.3618519 2 18.1025 0.0635786
58651.3388426 2 18.007 0.0690271
58648.2626968 2 17.8541 0.0556345
58645.3030208 2 17.9499 0.0531361
58642.2862037 2 18.0539 0.0604509
58636.3297569 2 18.6195 0.0841239
