ZTF19abxvtmn 0.052000 II
58812.4331829 1 20.1872 0.199673
58812.4327083 1 20.369 0.193332
58805.5283796 1 20.0546 0.294597
58805.5150116 1 20.0455 0.321089
58805.5109375 1 20.0006 0.25282
58804.4734028 1 19.6411 0.330172
58798.5519676 1 19.6143 0.204125
58798.5501042 1 19.757 0.171966
58788.5129977 1 19.5647 0.149173
58788.5091898 1 19.6184 0.147558
58785.5279051 1 19.3554 0.129422
58784.4862153 1 19.4984 0.253817
58781.4750926 1 19.45 0.236895
58779.5065509 1 19.3481 0.12594
58778.5258565 1 19.3586 0.163222
58776.5357639 1 19.5104 0.188483
58775.4242245 1 19.2619 0.162394
58769.5181829 1 19.089 0.163696
58766.4676505 1 19.2493 0.111196
58766.4361227 1 19.3257 0.169971
58763.4687269 1 19.2689 0.142842
58763.4436921 1 19.2353 0.15261
58759.4496875 1 19.1887 0.112095
58756.4722106 1 19.2584 0.147532
58756.4532176 1 19.1703 0.126519
58751.4897917 1 19.2357 0.14241
58751.4884259 1 19.1485 0.146362
58748.5132639 1 19.1718 0.145486
58748.5123611 1 19.2156 0.148355
58745.5167593 1 19.1678 0.184287
58745.5130787 1 19.2715 0.187655
58737.5065046 1 19.1509 0.12103
58736.4871644 1 19.1319 0.105435
58733.4928935 1 19.1384 0.147455
