ZTF19aamgghn 0.029680 Ia-91bg
58634.227037 1 20.4644 0.291342
58609.194919 1 20.0869 0.201508
58598.2237731 1 20.0452 0.141467
58594.2134144 1 20.0191 0.27361
58587.2147106 1 19.6668 0.208315
58584.2209722 1 19.4599 0.194786
58575.2628935 1 18.7335 0.0808327
58572.1984722 1 18.5292 0.0800083
58567.2001157 1 18.2751 0.0819137
58559.3016435 1 19.0048 0.115474
