ZTF18acarupz 0.020000 Ia
58494.138125 1 19.1947 0.169602
58491.1398148 1 19.1933 0.145663
58487.135706 1 19.1976 0.10621
58482.1334838 1 19.1656 0.122812
58472.1361806 1 18.929 0.135741
58469.1120602 1 18.8711 0.0688982
58441.2435417 1 17.7006 0.0545049
58432.182581 1 16.7928 0.0323838
58429.2008796 1 16.4825 0.0372632
58426.1998958 1 16.261 0.0355991
58400.2607407 1 19.4144 0.0979294
