ZTF19aaptwpu 0.070000 Ia
58646.21625 2 19.9285 0.190301
58643.2430093 2 20.0941 0.260714
58640.235706 2 19.9767 0.231773
58637.1712847 2 19.8482 0.179491
58634.2610532 2 19.4586 0.11865
58617.2403704 2 18.9058 0.0897696
58606.1824884 2 18.4753 0.0657866
58601.2650463 2 18.3695 0.0606386
58594.3235648 2 18.3693 0.10443
58591.3859375 2 18.5764 0.106736
58584.1769792 2 19.9895 0.211941
