ZTF18abiyatb 0.120000 Ia
58761.1279977 2 19.0934 0.0838664
58761.1275463 2 18.9418 0.121578
58751.127963 2 18.6697 0.0790009
58751.1275116 2 19.0552 0.174848
58750.260787 2 18.6623 0.13294
58748.1341551 2 18.2374 0.0600003
58748.1337037 2 18.2324 0.0719433
58747.2572106 2 18.2226 0.082315
58745.1150926 2 17.904 0.0694438
58745.1146412 2 17.8956 0.0922377
58686.3123727 2 19.5016 0.150217
58668.3387616 2 19.2217 0.123924
58668.3383102 2 19.2015 0.1136
58668.3351273 2 19.2152 0.10057
58643.4609028 2 18.9431 0.133563
58582.4631019 2 19.2643 0.119369
58582.4612616 2 19.129 0.106151
58423.0879745 2 18.4716 0.083546
58423.0875231 2 18.5586 0.102187
58372.1688889 2 18.9946 0.126207
58372.1679745 2 19.1018 0.12457
58338.3294676 2 19.5732 0.174803
58329.3372801 2 18.6288 0.119073
58326.416875 2 18.007 0.121985
58323.251412 2 17.7812 0.0714823
58321.2727431 2 18.4685 0.0795731
