ZTF19aawmcjt 0.041000 II
58987.4064005 1 18.8593 0.0950607
58980.4195486 1 18.9352 0.160095
58970.4431019 1 19.4395 0.129585
58967.4371875 1 19.3963 0.169303
58964.3787847 1 19.2247 0.124267
58961.39375 1 19.0314 0.12806
58954.4006597 1 18.9217 0.126724
58943.4400347 1 18.8669 0.136913
58914.4631481 1 18.7153 0.184309
58911.5406829 1 18.6578 0.1063
58904.5493171 1 18.448 0.084584
58899.5425231 1 18.4272 0.082806
58894.5611111 1 18.6119 0.0910048
58891.4769329 1 18.6354 0.101771
58876.5385301 1 19.0264 0.142612
58657.231331 1 19.8434 0.197717
58647.2140625 1 19.8942 0.22946
58638.3512153 1 19.5405 0.196775
58635.4191667 1 19.8281 0.142904
