ZTF18acqphpd 0.037000 Ic
58524.4539699 2 20.0373 0.182251
58522.5242014 2 19.8971 0.156083
58511.5411921 2 19.4946 0.180774
58505.5442014 2 19.4553 0.215174
58494.5485069 2 19.2224 0.0791176
58493.4778241 2 19.1584 0.0942384
58491.5475116 2 19.0573 0.12956
58486.5033565 2 18.8841 0.0900148
58476.4869444 2 18.3582 0.0663467
58474.483044 2 18.2372 0.0782753
58468.5263773 2 17.9187 0.0413851
58465.5190625 2 17.7214 0.0616058
58448.5598727 2 17.854 0.0491147
58448.5134375 2 17.8393 0.0595623
