ZTF20aaupolv 0.050000 Ia
58985.1935995 1 18.3579 0.0544718
58980.1976042 1 18.0546 0.0667222
58977.1827083 1 17.8209 0.169018
58974.1961921 1 17.63 0.0475666
58971.2808102 1 17.4665 0.0496386
58968.2809375 1 17.2291 0.035618
58965.2214236 1 17.0893 0.0318528
58954.2893981 1 16.9695 0.0364203
58944.4251736 1 18.2935 0.108085
