ZTF19abgrcxs 0.082000 Ia
58706.4666319 1 19.9316 0.138259
58706.4629861 1 19.8834 0.148107
58703.4956829 1 19.6705 0.146274
58703.4925116 1 19.6093 0.163336
58700.4856713 1 19.446 0.13545
58699.4749653 1 19.1928 0.0921736
58697.4804167 1 19.2006 0.0999161
58696.4296296 1 19.1121 0.110518
58694.474919 1 19.0596 0.0952313
58693.4285417 1 19.0695 0.0847682
58691.4814468 1 19.0838 0.133197
58690.4652778 1 19.0106 0.110528
58685.4819792 1 19.1266 0.130564
58682.4888889 1 19.5189 0.196736
58682.4630556 1 19.6209 0.28265
