ZTF19acdxlns 0.069000 Ia
58790.2952199 1 19.867 0.20466
58790.2878009 1 19.8491 0.193363
58789.3528819 1 19.7373 0.16263
58789.1659259 1 19.6976 0.141921
58788.1655093 1 19.4689 0.130415
58787.1645833 1 19.5136 0.144172
58786.1722685 1 19.5944 0.153298
58785.1652894 1 19.3441 0.109245
58783.1655787 1 19.1577 0.138933
58782.1640394 1 19.2387 0.122148
58782.1640394 1 19.2387 0.122148
58781.1652199 1 19.2511 0.170244
58779.1652662 1 19.0085 0.091437
58778.1654514 1 19.0743 0.0919686
58777.1652546 1 19.0558 0.136429
58776.1648148 1 18.9976 0.100908
58775.1655787 1 19.0256 0.0936015
58774.165463 1 19.1723 0.146339
