ZTF20aansktb 0.100000 Ia
58941.406088 2 19.9347 0.194593
58936.4114931 2 19.6723 0.147995
58914.4067477 2 18.8209 0.091673
58911.4632755 2 18.7389 0.0805682
58906.4436343 2 18.7933 0.091085
58903.4176273 2 18.9066 0.080643
58898.4616088 2 19.417 0.110436
58894.4999537 2 20.1867 0.270113
58894.4636574 2 20.4146 0.208016
