ZTF19abgfrbl 0.092000 Ia
58709.4663079 1 19.8038 0.212748
58706.4405324 1 19.8129 0.126248
58703.4624074 1 19.4182 0.124518
58701.4576968 1 19.2747 0.119438
58700.4951852 1 19.1245 0.109811
58700.4785417 1 19.1331 0.0870633
58697.4792824 1 18.9808 0.0800357
58695.4150926 1 18.8343 0.0782444
58694.4546065 1 18.7882 0.0627036
58691.4906134 1 18.6306 0.0839481
58691.4558102 1 18.69 0.0764361
58690.4870602 1 18.5819 0.0849697
58688.4816319 1 18.5895 0.077864
58688.4628935 1 18.5481 0.070639
58683.4887153 1 18.7078 0.108928
58680.4825694 1 19.0078 0.139341
58677.4637731 1 19.5622 0.154129
58674.4537269 1 20.7671 0.294176
