ZTF19aamhhgu 0.038200 Ia
58616.3088657 2 19.994 0.188647
58612.3482407 2 19.8486 0.112941
58606.3446412 2 19.5868 0.110337
58596.3012037 2 19.1952 0.121824
58586.3248611 2 18.3114 0.0805464
58583.341088 2 18.1744 0.0917613
58580.3807755 2 18.0631 0.0650729
58575.4031366 2 17.8692 0.0484003
58572.3698148 2 17.5963 0.0632285
58567.3878472 2 17.5655 0.0593296
58560.4082292 2 18.3917 0.0732677
