ZTF19aartuev 0.053447 Ia
58642.1891319 1 19.9601 0.225714
58635.1896065 1 19.8069 0.245247
58634.2094213 1 19.4442 0.155437
58617.1926968 1 17.9633 0.079796
58617.1913426 1 18.0538 0.100105
58607.296875 1 17.6819 0.0669001
58607.2959722 1 17.5598 0.0568566
58601.2334375 1 17.8737 0.0655603
58601.230706 1 17.8386 0.0602913
58598.2528009 1 18.1961 0.0700825
58598.2523495 1 18.2523 0.0655133
