ZTF18acvwmpw 0.080000 Ia
58511.4415509 1 20.1395 0.208282
58502.4628935 1 19.5911 0.202748
58494.4963542 1 18.8178 0.0686484
58494.4767014 1 18.8068 0.0866102
58491.4741898 1 18.5176 0.0862617
58491.4737384 1 18.5011 0.0804864
58486.5415278 1 18.2156 0.0764816
58482.5025694 1 18.0257 0.0641057
58480.5184838 1 18.0264 0.0594079
58480.4972917 1 18.1093 0.0826663
58476.5475 1 18.1215 0.0655419
58472.5243866 1 18.5092 0.0841102
58471.5054745 1 18.6299 0.0941795
