ZTF20aaetvkh 0.070000 Ia
58904.1730787 2 20.0013 0.207545
58899.1435069 2 19.6353 0.137032
58896.1574537 2 19.3971 0.106027
58890.147419 2 19.221 0.149143
58885.1551736 2 19.1357 0.245393
58880.1829861 2 18.9118 0.100906
58878.1662269 2 18.8008 0.162939
58877.161956 2 18.7818 0.0745075
58873.1772917 2 18.4999 0.0564052
58871.2336111 2 18.4665 0.0655992
58867.232338 2 18.3429 0.0633456
58861.1909028 2 18.4514 0.0850454
58860.2115972 2 18.5265 0.135642
58860.2088426 2 18.4856 0.142677
58859.2678125 2 18.5942 0.116769
