ZTF19acbkczc 0.032600 Ia
58801.0753009 2 18.3838 0.113315
58797.0872222 2 18.2385 0.0776762
58791.1039352 2 17.9311 0.0795384
58788.0988889 2 17.8343 0.0788599
58785.0880556 2 17.7731 0.104694
58781.0996875 2 17.7152 0.05528
58775.2067361 2 17.4702 0.062659
58770.241875 2 17.0435 0.0694064
58767.1852315 2 16.8585 0.0541092
58760.2537963 2 17.0576 0.0409529
58757.2814931 2 17.26 0.0409484
58754.2079398 2 17.8742 0.0548852
