ZTF19aapcwdq 0.100000 Ia
58612.1957407 2 19.784 0.172355
58608.2164005 2 19.6203 0.127427
58602.2599074 2 19.349 0.102762
58601.2612037 2 19.2961 0.118351
58597.3474769 2 19.0319 0.125873
58597.242338 2 19.1041 0.0855091
58594.1578125 2 18.9686 0.0935801
58593.2671644 2 19.0244 0.120945
58587.2562616 2 18.8529 0.100397
58584.1846065 2 19.2259 0.130917
58582.2034838 2 19.5259 0.114886
58581.2352199 2 19.6298 0.165767
