ZTF20aaiqiti 0.025000 Ic-BL
58906.3175926 1 20.6839 0.346451
58900.3510648 1 20.4458 0.258174
58899.3732407 1 20.8158 0.275362
58898.3940625 1 20.5817 0.19357
58894.336088 1 20.3293 0.218137
58891.4407523 1 19.9372 0.304571
58883.4625694 1 19.5759 0.174408
58880.4651852 1 19.3898 0.122261
58877.3790394 1 19.3979 0.132461
58874.4003241 1 19.9997 0.170644
