ZTF18abjijwk 0.080000 Ia
58915.4134606 2 18.5646 0.119846
58914.4150694 2 18.4648 0.098461
58913.4371759 2 18.4605 0.115196
58912.4342014 2 18.4487 0.0629259
58911.2222106 2 18.6462 0.192252
58906.491956 2 18.6236 0.126654
58903.4268634 2 18.8939 0.091803
58901.4074653 2 19.2135 0.105039
58899.3213889 2 19.6778 0.192671
58898.3450579 2 20.1094 0.153783
