ZTF19acnzkph 0.017000 Ia
58892.1319213 2 19.4567 0.163769
58875.0925694 2 18.9143 0.0954998
58863.0879398 2 18.5401 0.0708465
58859.1507639 2 18.5462 0.102049
58846.1084259 2 17.9925 0.0324877
58814.1697222 2 16.6573 0.047428
58812.2279514 2 16.4311 0.0373446
58811.1476157 2 16.3957 0.0297407
58804.2296065 2 16.4058 0.030902
58801.308044 2 16.5248 0.0385963
58801.2716782 2 16.5456 0.044395
58798.2112037 2 16.9038 0.051174
58794.300625 2 17.8311 0.0782902
58791.3413194 2 19.0751 0.127858
58790.1976505 2 19.8632 0.24025
