ZTF19acykjcw 0.031780 Ia
58892.1350926 2 19.0217 0.129057
58885.1347685 2 18.6255 0.149372
58881.1233681 2 18.5668 0.0704048
58878.1323032 2 18.4648 0.166449
58875.094838 2 18.1687 0.0506472
58872.1243519 2 17.9971 0.0585908
58859.1562269 2 17.7401 0.0601262
58854.1366898 2 17.531 0.061564
58853.1404861 2 17.3812 0.0585843
58853.0817361 2 17.4151 0.0574021
58846.1134491 2 17.0356 0.0286593
58838.0975 2 17.2307 0.0358832
58837.0722801 2 17.3289 0.0379547
58835.090463 2 17.5758 0.076861
58831.0888889 2 18.3088 0.0772491
