ZTF19aauisdr 0.043300 II
58657.1940509 1 20.5409 0.33019
58645.2120833 1 19.831 0.262006
58642.1951389 1 19.6669 0.131231
58639.2396065 1 19.2511 0.0944928
58636.2558912 1 19.0349 0.0921605
58633.2592477 1 18.7885 0.0885718
58628.2102662 1 18.6297 0.0979954
58619.2302778 1 18.8604 0.21648
58616.2316319 1 19.2422 0.173963
