ZTF19abgnuri 0.070000 Ia
58726.2724884 2 19.8574 0.166051
58724.2959491 2 19.9742 0.244139
58723.2959028 2 19.6994 0.135396
58722.2725347 2 19.6426 0.133975
58720.2929051 2 19.4297 0.128759
58719.2727083 2 19.423 0.132121
58718.2937616 2 19.4112 0.109304
58717.2720486 2 19.3046 0.116865
58716.2932407 2 19.3102 0.119962
58715.2721296 2 19.128 0.10588
58714.1879398 2 19.2352 0.0953035
58711.1877894 2 19.1379 0.105993
58710.1879861 2 19.0715 0.111092
58708.1951852 2 19.0253 0.12473
58707.1938194 2 19.0555 0.130784
58706.1951389 2 18.8798 0.0856264
58705.194375 2 18.9288 0.0859015
58704.2765741 2 18.8805 0.0856316
58703.2819676 2 18.7803 0.0814588
58702.2801042 2 18.7897 0.0850797
58701.2807176 2 18.5534 0.105533
58700.2768519 2 18.6669 0.0784067
58699.2803125 2 18.6274 0.0747729
58697.2993634 2 18.4932 0.0595438
58696.2773727 2 18.4945 0.0600057
58693.2160417 2 18.3957 0.0637938
58691.1811921 2 18.4648 0.0523855
58690.1814005 2 18.5009 0.0650035
58688.3657986 2 18.56 0.06934
58685.3379282 2 18.7629 0.096302
58684.2365046 2 18.8975 0.0869597
58683.2462847 2 18.9912 0.0866829
58683.2180671 2 18.9208 0.110017
58682.2422917 2 19.1352 0.11515
58681.2457407 2 19.3783 0.118104
58680.2579167 2 19.5974 0.190433
