ZTF19acokufi 0.076000 Ia-91T
58852.4332755 2 20.2395 0.167384
58849.4238657 2 20.1283 0.163767
58846.4386227 2 19.9125 0.158787
58846.4084722 2 20.0114 0.14338
58830.4415394 2 19.2425 0.18631
58827.4568171 2 19.2167 0.193161
58827.4314236 2 19.1896 0.182664
58803.4255556 2 18.4874 0.101114
58797.5328819 2 18.9327 0.107163
58791.5181366 2 19.9294 0.194274
58790.5138773 2 20.1203 0.244008
