ZTF19aanuipj 0.060000 Ia
58635.3724306 2 20.3303 0.21349
58627.4119792 2 20.2097 0.237367
58616.4096412 2 19.7356 0.16022
58616.4073495 2 19.7833 0.18124
58612.470162 2 19.5507 0.121177
58608.3906713 2 19.2248 0.155771
58605.4346528 2 19.0836 0.0896678
58605.4295833 2 18.9569 0.103037
58596.4264699 2 18.7937 0.103609
58596.4246644 2 18.812 0.101986
58591.4719907 2 18.4633 0.103178
58591.4710185 2 18.5041 0.092837
58587.4293519 2 18.3299 0.103369
58584.41 2 18.1176 0.0726839
58580.5048611 2 18.2302 0.082456
58580.4931019 2 18.246 0.064934
58575.4461574 2 18.8543 0.077085
58575.4438889 2 18.8277 0.0896208
58574.3333681 2 19.0279 0.125595
58572.4693403 2 19.5781 0.174117
58572.4311806 2 19.7161 0.183263
