ZTF18abjvhec 0.056900 Ia
58370.137037 2 18.5932 0.103014
58365.1449537 2 18.4585 0.0847598
58362.1422569 2 18.4275 0.0587956
58353.1630787 2 18.1334 0.0647119
58350.1521991 2 17.97 0.0529649
58346.1729282 2 17.7439 0.0713446
58343.1540278 2 17.6824 0.0548105
58340.1861921 2 17.6674 0.0561864
58337.1925579 2 17.6937 0.0657763
58334.1574769 2 17.9096 0.0851593
58331.1856019 2 18.2383 0.0824447
