ZTF19aayabqe 0.033000 Ia
58660.1996412 1 20.5793 0.24477
58658.2225347 1 20.2537 0.196632
58657.224375 1 20.1485 0.190348
58655.2649769 1 19.9008 0.255128
58654.2821065 1 19.7567 0.216061
58650.2056944 1 19.1932 0.15969
58647.2270255 1 18.9381 0.0915316
58644.1972222 1 19.2656 0.114883
58641.2056019 1 20.2434 0.235194
