ZTF20aamqslk 0.086400 Ia
58915.2388889 1 19.2543 0.186081
58913.3071296 1 19.1488 0.153227
58912.2571528 1 19.0791 0.132865
58911.3860764 1 19.0518 0.133088
58905.288125 1 18.6218 0.0833325
58904.2775579 1 18.637 0.099459
58903.3251852 1 18.5764 0.0618326
58903.3178356 1 18.6667 0.080698
58900.3263657 1 18.4931 0.0542338
58899.3675347 1 18.4868 0.06383
58898.2780093 1 18.5229 0.064052
58895.2448843 1 18.6205 0.0836723
58894.331875 1 18.7787 0.0811791
58894.3216319 1 18.756 0.0919909
58893.2404861 1 18.8207 0.0816527
58892.3537153 1 18.9643 0.0975992
58891.2386111 1 18.9996 0.121327
58891.2366088 1 19.1459 0.145039
