ZTF19abdkgns 0.086100 Ia
58709.4925694 1 20.4436 0.334358
58706.4703588 1 20.4158 0.230122
58703.4768981 1 20.1643 0.188047
58700.4658218 1 19.7498 0.130578
58697.4672338 1 19.39 0.106789
58694.4417593 1 19.1624 0.103465
58691.4696875 1 18.8572 0.0741953
58688.4727315 1 18.6662 0.091691
58685.4926157 1 18.4614 0.0867162
58682.4912963 1 18.3728 0.094136
58679.4576852 1 18.4135 0.0885118
58676.42875 1 18.4558 0.0713038
58673.4710648 1 18.6356 0.0857137
58670.4533218 1 18.9135 0.0936397
58667.4471991 1 19.5591 0.123462
