ZTF19abrogbl 0.035800 Ia
58775.3745023 2 19.6401 0.17332
58769.4298148 2 19.0298 0.147917
58769.4184838 2 19.2995 0.243321
58766.4834259 2 19.2319 0.0982004
58763.4815972 2 19.0927 0.131506
58759.3771759 2 18.783 0.0794981
58756.4817477 2 18.514 0.060854
58750.4649537 2 18.1436 0.0841101
58750.4635995 2 18.173 0.0783889
58747.4607639 2 18.1388 0.067273
58747.4396759 2 18.1428 0.079501
58744.4598958 2 18.1466 0.0837502
58741.4793056 2 17.9518 0.0670053
58738.5025347 2 17.7241 0.07613
58735.4872222 2 17.5144 0.0464852
58735.4862384 2 17.495 0.047582
58732.4818287 2 17.346 0.0425122
58732.476794 2 17.3788 0.0438687
58725.498044 2 17.5724 0.0453599
58725.4975926 2 17.6074 0.0498177
58722.4860069 2 17.9946 0.0631468
58722.485544 2 17.9796 0.0589576
58719.4636921 2 18.8385 0.129119
58719.4632407 2 18.7498 0.090638
