ZTF19abkdrir 0.099000 Ia
58725.4178241 1 19.6117 0.146362
58723.4175694 1 19.3757 0.117084
58719.4821181 1 19.081 0.131623
58718.4172454 1 18.9483 0.150013
58715.5017245 1 18.6733 0.159543
58707.4164931 1 18.3862 0.088547
58707.4160301 1 18.4132 0.076058
58704.4184028 1 18.3993 0.0762673
58704.4179398 1 18.4314 0.109772
58701.4596644 1 18.6055 0.0900013
58699.4573495 1 18.8458 0.119066
58698.4552315 1 18.9227 0.0814028
58696.4333449 1 19.3283 0.169311
58695.4401389 1 19.5317 0.136603
58693.4253125 1 20.4708 0.32546
