ZTF20aaactgu 0.065000 Ia
58887.193912 1 19.543 0.302833
58882.1005093 1 19.0474 0.143281
58880.1132292 1 18.9729 0.0977402
58877.1816088 1 18.6701 0.105182
58874.1598264 1 18.3505 0.0609268
58871.1579167 1 18.2254 0.0713376
58864.1094213 1 18.0704 0.0545991
58862.1133449 1 18.139 0.0544323
58859.0990856 1 18.3315 0.0693491
