ZTF19abqsvgf 0.053654 Ia
58754.2606944 1 19.9238 0.196585
58747.1333333 1 19.4233 0.114915
58746.1445718 1 19.405 0.177526
58743.1365625 1 19.0836 0.109681
58743.1311111 1 19.0014 0.147749
58740.137037 1 18.8199 0.131018
58740.1315625 1 18.723 0.14117
58737.1608565 1 18.4973 0.0939677
58737.1576157 1 18.63 0.100592
58733.3059606 1 18.3144 0.0924925
58733.1921412 1 18.2797 0.0660532
58727.1827315 1 18.2627 0.0505899
58723.2689005 1 18.5303 0.0897636
58723.1767014 1 18.4842 0.0658795
58720.1870255 1 18.9316 0.105942
58716.174838 1 20.1038 0.1729
