ZTF18abmxdhb 0.070000 Ia
58390.2168056 2 19.2369 0.135385
58387.1367245 2 19.445 0.169091
58387.1213773 2 19.319 0.127537
58381.1367593 2 19.2634 0.171483
58377.1587963 2 19.0749 0.0929047
58377.1339236 2 19.0571 0.114307
58374.1812037 2 18.9226 0.0996217
58374.1358565 2 18.819 0.0840135
58371.1576042 2 18.6614 0.0989378
58371.1408102 2 18.6594 0.0736363
58368.1779514 2 18.6035 0.0973833
58368.1590972 2 18.532 0.0757073
58365.180544 2 18.4814 0.0812866
58365.1565394 2 18.4612 0.0752906
58362.1786343 2 18.47 0.087522
58362.1611111 2 18.4452 0.0697902
58359.1995255 2 18.5249 0.0678826
58356.2670602 2 18.6682 0.100129
58356.2049306 2 18.7557 0.102253
58352.242037 2 19.0162 0.0983212
58352.2190162 2 19.0938 0.148348
58349.2444676 2 19.725 0.165029
58346.1773495 2 20.466 0.213592
