ZTF18aacdbzx 0.080000 Ic-BL
58522.5381944 2 19.815 0.160218
58511.5341551 2 19.3978 0.15853
58508.5066782 2 19.1521 0.114888
58508.4887269 2 19.2285 0.147251
58505.5385417 2 19.1131 0.204871
58502.5573148 2 19.028 0.112226
58502.5559144 2 19.14 0.0897558
58494.5569097 2 19.2346 0.0816482
58494.5559606 2 19.3218 0.139265
